id_evento,fecha_exacta,año,departamento,municipio,num_victimas,tipo_violencia,nivel_certeza,fuente_url,corregimiento,vereda,coordenadas_xy,actor_presunto,frente_bloque,objetivo_ataque,arma_usada,modus_operandi,perfil_victima,desplazamiento_forzado,notas_inteligencia,alerta_previa,ventana_dias,ventana_meses,indice_riesgo_2026
IND-2025-2,13/01/25,2025,Cauca,Puerto Tejada,3,Masacre,Alta (Indepaz),Indepaz - Balance Histórico,No reportado en AT,Cabecera Municipal,No reportado en AT,EN DISPUTA,No reportado en AT,Control Territorial,No reportado en AT,Incursión Armada,No reportado en AT,No reportado en AT,No reportado en AT,018-22.pdf,No reportado en AT,36,2
IND-2025-16,27/03/2025,2025,Cauca,Guachené,3,Masacre,Alta (Indepaz),Indepaz - Balance Histórico,No reportado en AT,Cabecera Municipal,No reportado en AT,EN DISPUTA,No reportado en AT,Control Territorial,No reportado en AT,Incursión Armada,No reportado en AT,No reportado en AT,No reportado en AT,"018-22.pdf, 036-23.pdf",No reportado en AT,36,2
IND-2025-24,16/05/2025,2025,Cauca,Mercaderes,4,Masacre,Alta (Indepaz),Indepaz - Balance Histórico,No reportado en AT,Patía,No reportado en AT,EN DISPUTA,No reportado en AT,Control Territorial,No reportado en AT,Incursión Armada,No reportado en AT,No reportado en AT,No reportado en AT,008-25.pdf,No reportado en AT,0,7
IND-2025-47,11/08/2025,2025,Cauca,Bolívar,3,Masacre,Alta (Indepaz),Indepaz - Balance Histórico,No reportado en AT,Patía,No reportado en AT,EN DISPUTA,No reportado en AT,Control Territorial,No reportado en AT,Incursión Armada,No reportado en AT,No reportado en AT,No reportado en AT,"003-24.pdf, 008-25.pdf",No reportado en AT,12,10
IND-2025-58,14/09/2025,2025,Cauca,Popayán,3,Masacre,Alta (Indepaz),Indepaz - Balance Histórico,No reportado en AT,El Cabuyal,No reportado en AT,EN DISPUTA,No reportado en AT,Control Territorial,No reportado en AT,Incursión Armada,No reportado en AT,No reportado en AT,No reportado en AT,"018-22.pdf, 008-25.pdf",No reportado en AT,36,7
IND-2025-69,03/11/2025,2025,Cauca,Corinto,4,Masacre,Alta (Indepaz),Indepaz - Balance Histórico,No reportado en AT,Cabecera Municipal,No reportado en AT,EN DISPUTA,No reportado en AT,Control Territorial,No reportado en AT,Retén Ilegal / Control de Vías,No reportado en AT,No reportado en AT,No reportado en AT,"018-22.pdf, 036-23.pdf, 008-25.pdf",No reportado en AT,36,7
IND-2025-76,03/12/2025,2025,Cauca,Toribio,3,Masacre,Alta (Indepaz),Indepaz - Balance Histórico,No reportado en AT,Cabecera Municipal,No reportado en AT,Frente Carlos Patiño,No reportado en AT,Control Territorial,No reportado en AT,Incursión Armada,No reportado en AT,No reportado en AT,No reportado en AT,"018-22.pdf, 036-23.pdf",No reportado en AT,36,2
IND-2024-10,12/02/2024,2024,Cauca,Piamonte,4,Masacre,Alta (Indepaz),Indepaz - Balance Histórico,No reportado en AT,Cabecera Municipal,No reportado en AT,EN DISPUTA,No reportado en AT,Control Territorial,No reportado en AT,Incursión Armada,No reportado en AT,No reportado en AT,No reportado en AT,SIN_ALERTA_DETECTADA,No reportado en AT,0,0
IND-2024-12,18/02/2024,2024,Cauca,Páez,3,Masacre,Alta (Indepaz),Indepaz - Balance Histórico,No reportado en AT,Cabecera Municipal,No reportado en AT,ELN,No reportado en AT,Control Territorial,No reportado en AT,Incursión Armada,No reportado en AT,No reportado en AT,No reportado en AT,"018-22.pdf, 003-24.pdf",No reportado en AT,24,5
IND-2024-24,27/04/2024,2024,Cauca,Corinto,4,Masacre,Alta (Indepaz),Indepaz - Balance Histórico,No reportado en AT,Cabecera Municipal,No reportado en AT,EN DISPUTA,No reportado en AT,Control Territorial,No reportado en AT,Retén Ilegal / Control de Vías,No reportado en AT,No reportado en AT,No reportado en AT,"018-22.pdf, 036-23.pdf, 008-25.pdf",No reportado en AT,24,7
IND-2024-27,14/05/2024,2024,Cauca,Cajibío,3,Masacre,Alta (Indepaz),Indepaz - Balance Histórico,No reportado en AT,El Cabuyal,No reportado en AT,EN DISPUTA,No reportado en AT,Control Territorial,No reportado en AT,Incursión Armada,No reportado en AT,No reportado en AT,No reportado en AT,"018-22.pdf, 036-23.pdf, 008-25.pdf",No reportado en AT,24,7
IND-2024-29,19/05/2024,2024,Cauca,Corinto,3,Masacre,Alta (Indepaz),Indepaz - Balance Histórico,No reportado en AT,Cabecera Municipal,No reportado en AT,EN DISPUTA,No reportado en AT,Control Territorial,No reportado en AT,Retén Ilegal / Control de Vías,No reportado en AT,No reportado en AT,No reportado en AT,"018-22.pdf, 036-23.pdf, 008-25.pdf",No reportado en AT,24,7
IND-2024-34,14/06/2024,2024,Cauca,Miranda,3,Masacre,Alta (Indepaz),Indepaz - Balance Histórico,No reportado en AT,Cabecera Municipal,No reportado en AT,EN DISPUTA,No reportado en AT,Control Territorial,No reportado en AT,Incursión Armada,No reportado en AT,No reportado en AT,No reportado en AT,"018-22.pdf, 036-23.pdf",No reportado en AT,24,2
IND-2024-35,18/06/2024,2024,Cauca,Miranda,3,Masacre,Alta (Indepaz),Indepaz - Balance Histórico,No reportado en AT,Cabecera Municipal,No reportado en AT,EN DISPUTA,No reportado en AT,Control Territorial,No reportado en AT,Incursión Armada,No reportado en AT,No reportado en AT,No reportado en AT,"018-22.pdf, 036-23.pdf",No reportado en AT,24,2
IND-2024-46,08/09/2024,2024,Cauca,López de Micay,12,Masacre,Alta (Indepaz),Indepaz - Balance Histórico,No reportado en AT,El Cabuyal,No reportado en AT,EN DISPUTA,No reportado en AT,Control Territorial,No reportado en AT,Incursión Armada,No reportado en AT,No reportado en AT,No reportado en AT,008-25.pdf,No reportado en AT,-12,7
IND-2024-55,07/10/24,2024,Cauca,Toribio,3,Masacre,Alta (Indepaz),Indepaz - Balance Histórico,No reportado en AT,Cabecera Municipal,No reportado en AT,Frente Carlos Patiño,No reportado en AT,Control Territorial,No reportado en AT,Incursión Armada,No reportado en AT,No reportado en AT,No reportado en AT,"018-22.pdf, 036-23.pdf",No reportado en AT,24,2
IND-2024-58,22/10/2024,2024,Cauca,Suárez,3,Masacre,Alta (Indepaz),Indepaz - Balance Histórico,No reportado en AT,Cabecera Municipal,No reportado en AT,EN DISPUTA,No reportado en AT,Control Territorial,No reportado en AT,Confinamiento Poblacional,No reportado en AT,No reportado en AT,No reportado en AT,"018-22.pdf, 036-23.pdf",No reportado en AT,24,2
IND-2024-65,21/11/2024,2024,Cauca,Buenos Aires,5,Masacre,Alta (Indepaz),Indepaz - Balance Histórico,No reportado en AT,Cabecera Municipal,No reportado en AT,EGC,No reportado en AT,Control Territorial,No reportado en AT,Incursión Armada,No reportado en AT,No reportado en AT,No reportado en AT,"018-22.pdf, 036-23.pdf, 003-24.pdf",No reportado en AT,24,5
IND-2024-70,01/12/2024,2024,Cauca,Mercaderes,4,Masacre,Alta (Indepaz),Indepaz - Balance Histórico,No reportado en AT,Patía,No reportado en AT,EN DISPUTA,No reportado en AT,Control Territorial,No reportado en AT,Incursión Armada,No reportado en AT,No reportado en AT,No reportado en AT,008-25.pdf,No reportado en AT,-12,7
IND-2024-75,24/12/2024,2024,Cauca,Balboa,3,Masacre,Alta (Indepaz),Indepaz - Balance Histórico,No reportado en AT,Cabecera Municipal,No reportado en AT,Segunda Marquetalia,No reportado en AT,Control Territorial,No reportado en AT,Incursión Armada,No reportado en AT,No reportado en AT,No reportado en AT,008-25.pdf,No reportado en AT,-12,7
