id_evento,fecha_exacta,año,departamento,municipio,num_victimas,tipo_violencia,nivel_certeza,fuente_url,corregimiento,vereda,coordenadas_xy,actor_presunto,frente_bloque,objetivo_ataque,arma_usada,modus_operandi,perfil_victima,desplazamiento_forzado,notas_inteligencia,alerta_previa,ventana_dias
IND-2025-2,13/01/25,2025,Cauca,Puerto Tejada,3,Masacre,Alta (Indepaz),Indepaz - Balance Histórico,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,018-22.pdf,PENDIENTE_CRUCE
IND-2025-16,27/03/2025,2025,Cauca,Guachené,3,Masacre,Alta (Indepaz),Indepaz - Balance Histórico,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,"018-22.pdf, 036-23.pdf",PENDIENTE_CRUCE
IND-2025-24,16/05/2025,2025,Cauca,Mercaderes,4,Masacre,Alta (Indepaz),Indepaz - Balance Histórico,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,008-25.pdf,PENDIENTE_CRUCE
IND-2025-47,11/08/2025,2025,Cauca,Bolívar,3,Masacre,Alta (Indepaz),Indepaz - Balance Histórico,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,"003-24.pdf, 008-25.pdf",PENDIENTE_CRUCE
IND-2025-58,14/09/2025,2025,Cauca,Popayán,3,Masacre,Alta (Indepaz),Indepaz - Balance Histórico,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,"018-22.pdf, 008-25.pdf",PENDIENTE_CRUCE
IND-2025-69,03/11/2025,2025,Cauca,Corinto,4,Masacre,Alta (Indepaz),Indepaz - Balance Histórico,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,"018-22.pdf, 036-23.pdf, 008-25.pdf",PENDIENTE_CRUCE
IND-2025-76,03/12/2025,2025,Cauca,Toribio,3,Masacre,Alta (Indepaz),Indepaz - Balance Histórico,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,"018-22.pdf, 036-23.pdf",PENDIENTE_CRUCE
IND-2024-10,12/02/2024,2024,Cauca,Piamonte,4,Masacre,Alta (Indepaz),Indepaz - Balance Histórico,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,SIN_ALERTA_DETECTADA,PENDIENTE_CRUCE
IND-2024-12,18/02/2024,2024,Cauca,Páez,3,Masacre,Alta (Indepaz),Indepaz - Balance Histórico,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,"018-22.pdf, 003-24.pdf",PENDIENTE_CRUCE
IND-2024-24,27/04/2024,2024,Cauca,Corinto,4,Masacre,Alta (Indepaz),Indepaz - Balance Histórico,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,"018-22.pdf, 036-23.pdf, 008-25.pdf",PENDIENTE_CRUCE
IND-2024-27,14/05/2024,2024,Cauca,Cajibío,3,Masacre,Alta (Indepaz),Indepaz - Balance Histórico,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,"018-22.pdf, 036-23.pdf, 008-25.pdf",PENDIENTE_CRUCE
IND-2024-29,19/05/2024,2024,Cauca,Corinto,3,Masacre,Alta (Indepaz),Indepaz - Balance Histórico,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,"018-22.pdf, 036-23.pdf, 008-25.pdf",PENDIENTE_CRUCE
IND-2024-34,14/06/2024,2024,Cauca,Miranda,3,Masacre,Alta (Indepaz),Indepaz - Balance Histórico,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,"018-22.pdf, 036-23.pdf",PENDIENTE_CRUCE
IND-2024-35,18/06/2024,2024,Cauca,Miranda,3,Masacre,Alta (Indepaz),Indepaz - Balance Histórico,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,"018-22.pdf, 036-23.pdf",PENDIENTE_CRUCE
IND-2024-46,08/09/2024,2024,Cauca,López de Micay,12,Masacre,Alta (Indepaz),Indepaz - Balance Histórico,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,008-25.pdf,PENDIENTE_CRUCE
IND-2024-55,07/10/24,2024,Cauca,Toribio,3,Masacre,Alta (Indepaz),Indepaz - Balance Histórico,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,"018-22.pdf, 036-23.pdf",PENDIENTE_CRUCE
IND-2024-58,22/10/2024,2024,Cauca,Suárez,3,Masacre,Alta (Indepaz),Indepaz - Balance Histórico,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,"018-22.pdf, 036-23.pdf",PENDIENTE_CRUCE
IND-2024-65,21/11/2024,2024,Cauca,Buenos Aires,5,Masacre,Alta (Indepaz),Indepaz - Balance Histórico,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,"018-22.pdf, 036-23.pdf, 003-24.pdf",PENDIENTE_CRUCE
IND-2024-70,01/12/2024,2024,Cauca,Mercaderes,4,Masacre,Alta (Indepaz),Indepaz - Balance Histórico,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,008-25.pdf,PENDIENTE_CRUCE
IND-2024-75,24/12/2024,2024,Cauca,Balboa,3,Masacre,Alta (Indepaz),Indepaz - Balance Histórico,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,PENDIENTE_CRUCE,008-25.pdf,PENDIENTE_CRUCE
